name,location,cuisines,rate,votes,approx_cost_for_two,online_order,book_table,rest_type,listed_in_type
i-Bar - The Park Bangalore,MG Road,"North Indian, Chinese, Mediterranean",3.8,617,3000,No,No,Lounge,Drinks & nightlife
Fusion Lounge,Brigade Road,Finger Food,2.0,396,1500,No,No,Lounge,Drinks & nightlife
Scottish Pub,St. Marks Road,Finger Food,3.9,190,600,No,No,Bar,Drinks & nightlife
WYT RestroPub,MG Road,"North Indian, Chinese",2.7,402,1000,No,No,Pub,Drinks & nightlife
ThrowBack - Pub & Dine,Langford Town,"Italian, North Indian, Continental",3.9,234,1000,No,No,"Bar, Casual Dining",Drinks & nightlife
Downtown,Residency Road,"North Indian, Continental",3.7,294,1000,No,No,Pub,Drinks & nightlife
The Ritz-Carlton Bar - The Ritz-Carlton,Residency Road,Finger Food,4.0,93,2000,No,No,Lounge,Drinks & nightlife
Slounge - Lemon Tree Premier,Ulsoor,Finger Food,4.0,62,1500,No,No,Lounge,Drinks & nightlife
Bar UNO - JW Marriott Bengaluru,Lavelle Road,Spanish,3.9,72,2500,No,No,Lounge,Drinks & nightlife
Aqua - The Park Bangalore,MG Road,"North Indian, Mediterranean, Chinese",4.0,195,3000,No,Yes,"Lounge, Bar",Drinks & nightlife
Retro Lounge Bar,Ulsoor,"North Indian, Chinese",3.8,108,1400,No,Yes,Bar,Drinks & nightlife
Liquid Lounge - Hyatt Centric MG Road,Ulsoor,"Finger Food, Continental, Chinese",4.0,97,2400,No,Yes,Lounge,Drinks & nightlife
White Plate,MG Road,"Thai, Continental, North Indian",4.2,258,1500,No,Yes,"Casual Dining, Bar",Drinks & nightlife
Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",4.7,4677,1300,Yes,Yes,"Pub, Cafe",Drinks & nightlife
Skylit - Citrus Hotels,Cunningham Road,"North Indian, Mughlai, Mediterranean",4.0,324,1300,No,Yes,Lounge,Drinks & nightlife
Plan B,Shanti Nagar,"American, Finger Food, BBQ, Steak",4.2,2022,1200,No,No,"Casual Dining, Pub",Drinks & nightlife
Blue Bar - The Taj West End,Race Course Road,Continental,4.0,113,2500,No,Yes,Lounge,Drinks & nightlife
Strikers Sports Bar and Music,Shanti Nagar,"Continental, North Indian, Chinese",3.8,73,1200,No,Yes,Bar,Drinks & nightlife
Sotally Tober,Residency Road,"Asian, Burger, Chinese, Finger Food",4.4,194,1200,No,Yes,"Bar, Casual Dining",Pubs and bars
Oh! Calcutta,Church Street,"Bengali, Seafood",4.4,1112,1200,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Easy Tiger,Church Street,"Finger Food, Continental",4.3,2244,1100,No,No,"Bar, Casual Dining",Pubs and bars
Russh Gastropub,Church Street,"Continental, Italian, Burger",4.2,1289,1100,No,No,Pub,Pubs and bars
Coconut Grove,Church Street,"South Indian, Chettinad, Kerala, Seafood",3.9,681,1200,No,Yes,"Casual Dining, Bar",Pubs and bars
20 Feet High,Church Street,"American, Continental, Steak, Salad",4.0,933,1000,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Chugg,Church Street,"Finger Food, Continental, Asian, North Indian",3.9,746,1500,No,Yes,Pub,Pubs and bars
Arbor Brewing Company,Brigade Road,"American, Continental, Salad",4.5,8382,2000,No,Yes,"Pub, Microbrewery",Pubs and bars
Hard Rock Cafe,St. Marks Road,"American, BBQ",4.5,5265,2500,No,Yes,"Casual Dining, Bar",Pubs and bars
The Permit Room,Brigade Road,South Indian,4.5,1576,1500,No,No,"Casual Dining, Bar",Pubs and bars
MISU,St. Marks Road,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",4.6,1217,1700,Yes,Yes,"Casual Dining, Bar",Pubs and bars
The Bar Stock Exchange,St. Marks Road,"Continental, Chinese, North Indian, Finger Food",4.3,609,1300,No,No,"Pub, Casual Dining",Pubs and bars
The Biere Club,Lavelle Road,"Continental, BBQ, Finger Food",4.3,3485,1700,Yes,Yes,"Pub, Microbrewery",Pubs and bars
Fava,Lavelle Road,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",4.4,2041,1200,No,Yes,"Casual Dining, Bar",Pubs and bars
Sunny's,Lavelle Road,"European, Italian, Seafood, Continental",4.1,1330,2100,No,Yes,"Casual Dining, Bar",Pubs and bars
1Q1,Infantry Road,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",4.3,596,2500,No,Yes,"Casual Dining, Bar",Pubs and bars
RockSalt,St. Marks Road,Modern Indian,4.4,488,1900,Yes,Yes,"Bar, Casual Dining",Pubs and bars
Double Decker,Brigade Road,"Continental, North Indian",4.3,2658,1300,No,Yes,"Bar, Casual Dining",Pubs and bars
The Barn - Bar & Kitchen,Brigade Road,"American, North Indian, Chinese",4.2,240,1500,No,Yes,Pub,Pubs and bars
Tree Tops Bar & Kitchen,Lavelle Road,"North Indian, Chinese, Continental, Italian",4.4,113,1000,No,Yes,"Casual Dining, Bar",Pubs and bars
Capri Gastrobar,St. Marks Road,"Mediterranean, Italian, Asian",4.3,286,1200,No,Yes,"Bar, Casual Dining",Pubs and bars
The Rice Bowl,Lavelle Road,"Chinese, Momos",4.3,500,1300,Yes,Yes,"Casual Dining, Bar",Pubs and bars
The Open Box,St. Marks Road,"European, North Indian, Mediterranean, Asian, Salad",4.2,2272,1400,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Watson's,Ulsoor,"Finger Food, Salad, Chinese, Continental",4.2,1428,1300,No,Yes,Pub,Pubs and bars
Bangalore Pub Exchange,MG Road,"Continental, Finger Food, Pizza, North Indian",4.2,210,1000,No,Yes,"Pub, Casual Dining",Pubs and bars
The Spice Bazaar,Lavelle Road,"North Indian, Mughlai",4.2,332,1000,No,Yes,"Casual Dining, Bar",Pubs and bars
Carnival de Goa,Ulsoor,"Goan, Mangalorean, Pizza",4.2,982,1000,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Laughing Llama Gastropub,Brigade Road,"Finger Food, Continental, Pizza",4.3,394,1600,Yes,Yes,"Bar, Casual Dining",Pubs and bars
Plan B,Brigade Road,"American, Continental, BBQ, Steak",4.2,4428,1200,No,No,"Casual Dining, Pub",Pubs and bars
Tiger Trail - Ramada Hotel,Shivajinagar,"North Indian, Lucknowi",4.0,188,1300,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Smaaash,MG Road,"North Indian, Pizza, Chinese",4.2,538,1500,No,Yes,"Casual Dining, Pub",Pubs and bars
Pecos Classic,Brigade Road,Finger Food,4.1,552,1100,No,Yes,"Pub, Casual Dining",Pubs and bars
Puran da Dhaba - The Pride Hotel,Richmond Road,North Indian,4.0,164,1700,Yes,No,"Casual Dining, Bar",Pubs and bars
Ging - Royal Orchid Central,MG Road,Asian,4.3,225,2000,Yes,Yes,"Bar, Casual Dining",Pubs and bars
Guzzlers Inn,Brigade Road,"North Indian, Chinese",4.0,949,1100,No,No,Pub,Pubs and bars
Chin Lung Resto Bar,Residency Road,"North Indian, Chinese, Fast Food",3.9,378,1000,No,No,Bar,Pubs and bars
Amber Rush Restobar,Residency Road,"Continental, Chinese, Fast Food",4.1,93,1000,No,Yes,Pub,Pubs and bars
EatWater,Lavelle Road,North Eastern,4.2,121,1000,Yes,No,"Casual Dining, Bar",Pubs and bars
The Grill House,Ulsoor,"American, Mexican, Italian, Steak",4.1,765,1200,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Riwaz - The Ritz-Carlton,Residency Road,North Indian,4.1,270,4000,No,Yes,"Fine Dining, Bar",Pubs and bars
Fuel Resto Bar,Richmond Road,"Finger Food, Mediterranean, North Indian",4.2,38,2000,No,No,Bar,Pubs and bars
The Lantern Restaurant & Bar - The Ritz-Carlton...,Residency Road,Chinese,4.4,424,3500,No,Yes,"Fine Dining, Bar",Pubs and bars
Bootlegger,Lavelle Road,"Continental, Steak",4.1,1543,1200,No,No,Pub,Pubs and bars
Le Rock,Brigade Road,"Continental, Chinese",4.0,1205,2000,Yes,No,"Bar, Quick Bites",Pubs and bars
Fort Kochi,MG Road,"Kerala, Seafood",4.1,336,1800,No,Yes,"Casual Dining, Bar",Pubs and bars
Matsuri - The Chancery Hotel,Lavelle Road,Japanese,4.4,183,1800,No,Yes,"Casual Dining, Bar",Pubs and bars
Scottish Pub,St. Marks Road,Finger Food,3.9,190,600,No,No,Bar,Pubs and bars
WYT RestroPub,MG Road,"North Indian, Chinese",2.7,402,1000,No,No,Pub,Pubs and bars
ThrowBack - Pub & Dine,Langford Town,"Italian, North Indian, Continental",3.9,234,1000,No,No,"Bar, Casual Dining",Pubs and bars
Atomic Lab,Lavelle Road,"Asian, North Indian, Continental",3.5,54,1800,No,No,"Casual Dining, Bar",Pubs and bars
South Parade - The Chancery Hotel,Lavelle Road,"North Indian, Continental, Chinese",3.1,123,1200,No,No,"Casual Dining, Bar",Pubs and bars
Downtown,Residency Road,"North Indian, Continental",3.7,294,1000,No,No,Pub,Pubs and bars
Aqua - The Park Bangalore,MG Road,"North Indian, Mediterranean, Chinese",4.0,195,3000,No,Yes,"Lounge, Bar",Pubs and bars
Nandhini Paradise,St. Marks Road,"Andhra, Chinese, North Indian",3.6,277,800,No,Yes,"Casual Dining, Bar",Pubs and bars
Retro Lounge Bar,Ulsoor,"North Indian, Chinese",3.8,108,1400,No,Yes,Bar,Pubs and bars
White Plate,MG Road,"Thai, Continental, North Indian",4.2,258,1500,No,Yes,"Casual Dining, Bar",Pubs and bars
Desi Deck,Brigade Road,"Mughlai, North Indian, Desserts",3.9,96,1300,Yes,Yes,"Casual Dining, Bar",Pubs and bars
Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",4.7,4677,1300,Yes,Yes,"Pub, Cafe",Pubs and bars
Strikers Sports Bar and Music,Shanti Nagar,"Continental, North Indian, Chinese",3.8,73,1200,No,Yes,Bar,Pubs and bars
Lobby Cafe - Radha Regent,Electronic City,"Continental, American, South Indian, Italian, North Indian, Chinese",3.7,177,1200,No,Yes,Casual Dining,Buffet
The Big Barbeque,Electronic City,"BBQ, North Indian, Continental, Chinese",4.7,524,1500,No,Yes,Casual Dining,Buffet
Fire Station,Electronic City,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",4.4,808,1200,No,Yes,"Pub, Casual Dining",Buffet
Barbeque Nation,Electronic City,"North Indian, European, Mediterranean, BBQ, Kebab",4.3,1147,1600,No,Yes,Casual Dining,Buffet
Onesta,Electronic City,"Pizza, Cafe, Italian",4.5,860,600,Yes,Yes,"Casual Dining, Cafe",Buffet
Time Traveller - Sai Vishram,Electronic City,"Continental, North Indian, South Indian, Chinese",4.2,882,1100,Yes,No,Casual Dining,Buffet
24@43 - The Oterra,Electronic City,"North Indian, Asian, Continental",4.1,268,3000,No,Yes,Fine Dining,Buffet
Citrus Cafe - Lemon Tree Hotel,Electronic City,"North Indian, Continental, South Indian",3.9,285,2200,No,Yes,Fine Dining,Buffet
Keys Cafe - Keys Hotel,Electronic City,"Chinese, Continental, North Indian",3.8,115,1200,No,No,Casual Dining,Buffet
Bazaar - Zone By The Park,Electronic City,"Continental, South Indian, North Indian, Asian",4.0,415,1400,No,Yes,Casual Dining,Buffet
Fishing Boat - Hotel Goyal Residency,Electronic City,"Seafood, North Indian, Chinese, Biryani",3.9,418,800,Yes,Yes,Casual Dining,Buffet
Soul Indian Specialty - Svenska Design Hotel,Electronic City,"North Indian, South Indian, Asian, Italian, Continental",3.7,266,2000,Yes,Yes,Fine Dining,Buffet
Melange - Hotel Ekaa,Electronic City,"North Indian, Chinese, Continental, Mangalorean",3.2,426,900,Yes,Yes,Casual Dining,Buffet
Spotlight - The Golden Tulip,Electronic City,"North Indian, Chinese, Continental",2.5,118,850,No,Yes,Casual Dining,Buffet
Ritz,Electronic City,"North Indian, Chinese, Thai, Continental",3.5,43,800,No,No,Casual Dining,Buffet
The Dining Table - Sahar Pavillion,Electronic City,"Chinese, Continental, North Indian, Pizza, South Indian",3.7,74,1500,No,Yes,"Casual Dining, Bar",Buffet
Onesta,Electronic City,"Pizza, Cafe, Italian",4.5,860,600,Yes,Yes,"Casual Dining, Cafe",Cafes
Cafe Happytizing,Electronic City,"Cafe, Sandwich, Pizza, North Indian, Mexican",4.1,351,700,Yes,No,Cafe,Cafes
Biggies Burger 'n' More,Electronic City,"Cafe, Burger, Beverages",3.9,176,650,Yes,No,Quick Bites,Cafes
This Cafe Has No Name Cafe,Electronic City,"Cafe, Beverages",3.2,79,500,Yes,No,Cafe,Cafes
She Brews,Electronic City,"Cafe, Continental, Thai, Chinese",3.8,159,400,Yes,No,Cafe,Cafes
Rags on Fire,Electronic City,Cafe,3.1,64,600,Yes,No,Cafe,Cafes
Chef Baker's,Electronic City,"Bakery, Fast Food, Pizza, Burger, Cafe",3.8,101,600,Yes,No,"Bakery, Quick Bites",Cafes
Cuppa,Electronic City,"Cafe, Fast Food, Continental",3.0,119,700,Yes,No,Cafe,Cafes
Entree cafe,Electronic City,"Cafe, Bakery, Desserts",3.7,56,400,Yes,No,"Cafe, Bakery",Cafes
Magic Oven,Electronic City,"Cafe, Desserts",4.0,134,400,No,No,"Cafe, Dessert Parlor",Cafes
The Hungry Shark Cafe,Electronic City,"Cafe, Continental, Beverages",3.9,117,700,No,No,Cafe,Cafes
Lassi Adda,Electronic City,"Beverages, Sandwich, Fast Food",4.0,65,200,Yes,No,Beverage Shop,Delivery
FreshMenu,South Bangalore,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.0,546,450,Yes,No,Delivery,Delivery
Lassi Resto Cafe,Electronic City,"Beverages, Fast Food",3.7,152,200,Yes,No,"Beverage Shop, Quick Bites",Delivery
Delhi Base Sri Food Court,Electronic City,"North Indian, South Indian, Chinese, Street Food",3.9,505,250,Yes,No,Quick Bites,Delivery
Wakhra Swaad,Electronic City,"North Indian, Biryani, Rolls, Beverages",3.4,83,300,Yes,No,Quick Bites,Delivery
Indian Food Court,Electronic City,"North Indian, Chinese, Fast Food",3.8,234,400,Yes,No,Quick Bites,Delivery
Fresh 'N' Grills,Electronic City,"Sandwich, Salad, North Indian, Chinese",3.2,234,500,Yes,No,"Takeaway, Delivery",Delivery
New Punjabi Food Corner,Electronic City,"North Indian, Chinese",4.0,960,500,Yes,Yes,Quick Bites,Delivery
BOX8- Desi Meals,Electronic City,"North Indian, Mughlai, Fast Food",4.2,564,500,Yes,No,"Takeaway, Delivery",Delivery
Swad 'E' Punjab,Electronic City,"North Indian, Chinese, Mughlai",3.6,216,500,Yes,No,Casual Dining,Delivery
Popular Burger,Electronic City,"Fast Food, Burger",4.1,150,200,Yes,No,Quick Bites,Delivery
Moriz Restaurant,Electronic City,"Arabian, Seafood, North Indian, Chinese, BBQ, Biryani, Beverages",3.1,1365,700,Yes,No,Casual Dining,Delivery
Burger King,Electronic City,"Burger, Fast Food, Beverages",3.8,560,600,Yes,No,Quick Bites,Delivery
Lassi Adda,Electronic City,"Beverages, Sandwich, Fast Food",4.0,65,200,Yes,No,Beverage Shop,Delivery
Onesta,Electronic City,"Pizza, Cafe, Italian",4.5,860,600,Yes,Yes,"Casual Dining, Cafe",Delivery
Insomniac's Delight,Electronic City,"Fast Food, North Indian",4.0,231,300,Yes,No,Delivery,Delivery
Maa Reddy's Hyderabadi Biryani House,Electronic City,"Biryani, Andhra, North Indian",3.7,945,500,Yes,No,Quick Bites,Delivery
Paradise,Electronic City,"Biryani, North Indian, Kebab",4.0,2043,800,Yes,No,Casual Dining,Delivery
Biryani Darbar,Electronic City,"Biryani, Mughlai, North Indian",3.6,539,800,Yes,No,Casual Dining,Delivery
Sri Pillaiyar Bhavan,Electronic City,Chettinad,4.0,117,300,Yes,No,Quick Bites,Delivery
Parathe Wali Gali,Electronic City,"North Indian, Chinese",3.6,332,250,Yes,No,Quick Bites,Delivery
Faasos,Hosur Road,"North Indian, Biryani, Fast Food",4.0,138,500,Yes,No,Delivery,Delivery
Cafe Happytizing,Electronic City,"Cafe, Sandwich, Pizza, North Indian, Mexican",4.1,351,700,Yes,No,Cafe,Delivery
King,Electronic City,"North Indian, Chinese",3.7,570,300,Yes,No,Quick Bites,Delivery
Behrouz Biryani,Electronic City,Biryani,4.1,349,650,Yes,No,Delivery,Delivery
Hyderabadi Spice,Electronic City,"Hyderabadi, Andhra, Chinese, Biryani",4.0,593,400,Yes,No,Quick Bites,Delivery
KFC,Electronic City,"Burger, Fast Food",3.9,682,450,Yes,No,Quick Bites,Delivery
Pallavi Restaurant,Electronic City,"Biryani, Chinese, Andhra",3.8,490,500,Yes,Yes,Casual Dining,Delivery
Kolkata Kitchen,Electronic City,"North Indian, Fast Food, Biryani",3.2,231,400,Yes,No,Quick Bites,Delivery
Thalassery Restaurant,Electronic City,"Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",3.8,571,600,Yes,No,Casual Dining,Delivery
MDP Coffee House,Electronic City,South Indian,3.8,62,200,Yes,No,Quick Bites,Delivery
Hot Attack,Electronic City,"North Indian, Chinese, Biryani",3.6,88,400,Yes,No,Quick Bites,Delivery
Kaaram,Electronic City,"Andhra, Biryani",3.4,52,500,Yes,No,Food Court,Delivery
Hyderabad Magic,Electronic City,"Hyderabadi, Chinese, Biryani, Arabian",3.8,237,400,Yes,No,Quick Bites,Delivery
Ruposhi Bangla,Electronic City,"Bengali, Chinese, North Indian, Seafood",4.0,159,400,Yes,No,Quick Bites,Delivery
Foodies Express,Electronic City,"Chinese, North Indian, Arabian, Biryani",3.7,130,400,Yes,No,Quick Bites,Delivery
Pizza Hut,Electronic City,"Pizza, Fast Food",3.2,120,750,Yes,No,Quick Bites,Delivery
Pizza Republic,Electronic City,"Pizza, Fast Food",3.8,270,500,Yes,No,Quick Bites,Delivery
Nainital North Indian Restaurant,Electronic City,North Indian,3.5,73,400,Yes,No,Quick Bites,Delivery
Pure Punjabi,Electronic City,"Chinese, North Indian, Fast Food",3.4,275,450,Yes,No,Quick Bites,Delivery
7 Days Restaurant,Electronic City,"North Indian, Chinese, Arabian",3.8,478,400,Yes,No,Quick Bites,Delivery
Goli Vada Pav No. 1,Electronic City,Street Food,2.9,78,150,Yes,No,Quick Bites,Delivery
Frozen Bottle,Electronic City,"Beverages, Desserts",4.1,209,400,Yes,No,"Beverage Shop, Dessert Parlor",Delivery
Doof,Electronic City,"Fast Food, Beverages",4.0,371,450,Yes,No,Delivery,Delivery
Pimento,Electronic City,"Chinese, Fast Food, Italian",3.7,95,400,Yes,No,Quick Bites,Delivery
Barbeque Delight,Electronic City,"Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",3.4,173,650,Yes,No,Casual Dining,Delivery
The Rasoiya Street,Electronic City,"North Indian, Continental, Mediterranean, Chinese",4.2,1134,800,Yes,Yes,Casual Dining,Delivery
Ruchi Sagar,Electronic City,"South Indian, North Indian, Chinese, Juices",4.0,262,250,Yes,No,Quick Bites,Delivery
New Andhra House,Electronic City,"Andhra, Biryani, Chinese, North Indian",3.7,522,450,Yes,No,Casual Dining,Delivery
Firangi Bake,Electronic City,"Mexican, Italian",4.1,93,600,Yes,No,Delivery,Delivery
India Garden,Electronic City,"North Indian, Chinese, Fast Food, Beverages",3.3,211,550,Yes,No,Casual Dining,Delivery
Royal Bengal Corner,Electronic City,"Chinese, Fast Food, North Indian, Rolls",3.8,307,250,Yes,No,Quick Bites,Delivery
Laddoos,Electronic City,"North Indian, Street Food, Mithai",4.0,407,250,Yes,No,"Quick Bites, Sweet Shop",Delivery
Food Ras,Electronic City,"North Indian, Chinese, Japanese, European, Seafood",4.3,1386,900,Yes,Yes,Casual Dining,Delivery
Ovenstory Pizza,Hosur Road,Pizza,4.0,55,750,Yes,No,Delivery,Delivery
Magic Bowl,Electronic City,"North Indian, Chinese, Arabian, Mughlai",3.6,98,700,Yes,No,Casual Dining,Delivery
NY Pizza & Waffles,Electronic City,"Pizza, Desserts",3.1,273,400,Yes,No,Quick Bites,Delivery
Sweet Truth,Electronic City,"Bakery, Desserts",3.9,81,500,Yes,No,Delivery,Delivery
Just Fresh Point,Electronic City,"Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",4.0,162,300,Yes,No,Quick Bites,Delivery
This Cafe Has No Name Cafe,Electronic City,"Cafe, Beverages",3.2,79,500,Yes,No,Cafe,Delivery
Samosa Singh,Electronic City,"Street Food, Beverages",4.0,426,150,Yes,No,Quick Bites,Delivery
Biriyani Zone,Electronic City,"Biryani, North Indian, Chinese, Seafood",3.9,678,800,Yes,No,Casual Dining,Delivery
Volga Restaurant,Electronic City,"North Indian, Chinese, Middle Eastern",3.7,294,500,Yes,No,Casual Dining,Delivery
The Elaichi Restaurant,Electronic City,"North Indian, Asian, Continental, Bengali, Momos",3.6,399,700,Yes,No,Casual Dining,Delivery
Fishing Boat - Hotel Goyal Residency,Electronic City,"Seafood, North Indian, Chinese, Biryani",3.9,418,800,Yes,Yes,Casual Dining,Delivery
Sila Restaurant,Electronic City,"Chinese, Seafood, North Indian, Biryani, Desserts",3.8,514,750,Yes,No,Casual Dining,Delivery
Parampara - The Veg Kitchen,Electronic City,"North Indian, Chinese, Street Food",3.7,255,350,Yes,No,Quick Bites,Delivery
Kettle On,Electronic City,"Fast Food, Sandwich, Beverages",3.7,110,400,Yes,No,Quick Bites,Delivery
Cafe Coffee Day,Electronic City,"Cafe, Fast Food",3.2,75,900,Yes,No,Cafe,Delivery
Just Shawarma,Electronic City,Arabian,3.9,176,300,Yes,No,Kiosk,Delivery
Cafe Palnad,Electronic City,"South Indian, Fast Food",4.0,92,400,Yes,No,Quick Bites,Delivery
Esfahan Restaurant,Electronic City,"North Indian, Lucknowi, Mughlai, Biryani",3.5,148,700,Yes,No,Casual Dining,Delivery
Melange - Hotel Ekaa,Electronic City,"North Indian, Chinese, Continental, Mangalorean",3.2,426,900,Yes,Yes,Casual Dining,Delivery
Satkar Restaurant,Electronic City,"North Indian, Chinese, Biryani, Seafood",3.6,75,350,Yes,No,Quick Bites,Delivery
Marley's Bistro,Electronic City,"Continental, European, Salad, Beverages, Italian, Burger",3.9,93,400,Yes,No,Casual Dining,Delivery
Hyderabad Darbar,Electronic City,"Andhra, South Indian",3.7,100,700,Yes,No,Casual Dining,Delivery
Thanima Garden Restaurant,Electronic City,"North Indian, Chinese, Kerala",3.6,163,500,Yes,No,Casual Dining,Delivery
Bhukkads,Electronic City,"Chinese, North Eastern",3.2,63,400,Yes,No,Casual Dining,Delivery
Karaikudi Restaurant,Electronic City,South Indian,3.7,214,300,Yes,No,Quick Bites,Delivery
Mamaji's,Electronic City,North Indian,3.6,453,600,Yes,No,Casual Dining,Delivery
Bangaliana,Electronic City,Bengali,3.0,61,600,Yes,No,Casual Dining,Delivery
New Food Magic,Electronic City,"Andhra, Chinese, North Indian, South Indian",3.2,153,450,Yes,No,Casual Dining,Delivery
Kittu's,Electronic City,North Indian,4.2,800,750,Yes,Yes,Casual Dining,Delivery
She Brews,Electronic City,"Cafe, Continental, Thai, Chinese",3.8,159,400,Yes,No,Cafe,Delivery
Chef Baker's,Electronic City,"Bakery, Fast Food, Pizza, Burger, Cafe",3.8,101,600,Yes,No,"Bakery, Quick Bites",Delivery
Donut Cafe,Electronic City,"Desserts, Fast Food",3.9,163,250,Yes,No,"Dessert Parlor, Quick Bites",Delivery
Biggies Burger 'n' More,Electronic City,"Cafe, Burger, Beverages",3.9,176,650,Yes,No,Quick Bites,Delivery
BIB - Breakfast in the Box,Electronic City,"American, Sandwich",3.9,56,600,Yes,No,Quick Bites,Delivery
King's Appetite,Electronic City,"North Indian, Chinese",3.7,45,500,Yes,No,"Food Court, Quick Bites",Delivery
Thanco's Natural Ice Creams,Electronic City,"Ice Cream, Desserts",3.7,54,450,Yes,No,Dessert Parlor,Delivery
A2B - Adyar Ananda Bhavan,Electronic City,"South Indian, North Indian, Chinese, Street Food, Fast Food",3.1,352,400,Yes,No,Casual Dining,Delivery
Pot Biryani,Electronic City,"North Indian, Chinese, Biryani, Seafood",2.8,297,600,Yes,No,Quick Bites,Delivery
Akkad Bakkad,Electronic City,"North Indian, Chinese",3.9,72,600,Yes,Yes,Casual Dining,Delivery
Sky Lounge Bar - Svenska Design Hotel,Electronic City,"North Indian, Pizza, Asian, Italian",4.0,537,1500,Yes,Yes,"Bar, Casual Dining",Delivery
Gilly's Restobar,Electronic City,"Continental, North Indian, Chinese, Salad",4.3,1249,1200,No,Yes,"Pub, Casual Dining",Delivery
Messy's,Electronic City,Fast Food,3.8,108,400,Yes,No,Quick Bites,Delivery
Entree cafe,Electronic City,"Cafe, Bakery, Desserts",3.7,56,400,Yes,No,"Cafe, Bakery",Delivery
Flying Cakes,Electronic City,"Bakery, Desserts",3.1,127,500,Yes,No,Bakery,Delivery
Domino's Pizza,Electronic City,"Pizza, Fast Food",2.7,477,400,Yes,No,Quick Bites,Delivery
Petoo,Electronic City,"North Indian, Fast Food, Street Food",3.6,55,400,Yes,No,Food Court,Delivery
Kritunga Restaurant,Electronic City,"Andhra, Biryani, North Indian, Chinese",3.8,473,650,No,Yes,Casual Dining,Delivery
Sitara Veg Restaurant,Electronic City,"South Indian, North Indian, Chinese",3.9,417,400,Yes,No,Quick Bites,Delivery
Sweet Chariot,Electronic City,"Bakery, Fast Food",3.0,60,500,Yes,No,Dessert Parlor,Delivery
Seasons,Electronic City,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",2.9,380,1000,Yes,No,Casual Dining,Delivery
Cedar Bar & Dive - Hotel Presidency,Electronic City,"North Indian, Thai, Chinese, Continental",3.8,49,1200,Yes,No,Bar,Delivery
Cuppa,Electronic City,"Cafe, Fast Food, Continental",3.0,119,700,Yes,No,Cafe,Delivery
Tap House Resto Bar,Electronic City,"Chinese, North Indian, Thai",3.4,184,900,Yes,Yes,"Casual Dining, Bar",Delivery
Apsara Ice Cream,Electronic City,"Ice Cream, Desserts",4.0,67,200,No,No,Dessert Parlor,Delivery
Salt N Pepper,Electronic City,"North Indian, Chinese",3.6,74,500,No,No,Casual Dining,Delivery
Time Traveller - Sai Vishram,Electronic City,"Continental, North Indian, South Indian, Chinese",4.2,882,1100,Yes,No,Casual Dining,Delivery
Green Family Bar & Restaurant,Electronic City,"North Indian, Chinese, Andhra",3.0,57,1000,No,No,Casual Dining,Delivery
Chinmayee's,Electronic City,"North Indian, Chinese",3.1,83,700,No,No,Casual Dining,Delivery
Bhojanam Restaurant,Electronic City,"Andhra, Biryani",3.6,196,600,No,No,Casual Dining,Delivery
The Dining Table - Sahar Pavillion,Electronic City,"Chinese, Continental, North Indian, Pizza, South Indian",3.7,74,1500,No,Yes,"Casual Dining, Bar",Delivery
Magic Oven,Electronic City,"Cafe, Desserts",4.0,134,400,No,No,"Cafe, Dessert Parlor",Delivery
Swad,Electronic City,"North Indian, Chinese",3.7,38,500,No,No,Casual Dining,Delivery
The Hungry Shark Cafe,Electronic City,"Cafe, Continental, Beverages",3.9,117,700,No,No,Cafe,Delivery
Varenyam,Electronic City,"South Indian, North Indian",3.7,56,500,No,No,Casual Dining,Delivery
Sandesh Sweets & Chats,Electronic City,"South Indian, Street Food, Beverages",2.9,126,350,No,No,Quick Bites,Delivery
Mast Kalandar,Electronic City,North Indian,2.4,142,450,No,No,Casual Dining,Delivery
The Breakfast Club,Electronic City,"Continental, South Indian, North Indian",3.9,90,400,No,No,Delivery,Delivery
Flavour A Azam,Electronic City,North Indian,3.5,42,400,No,No,Quick Bites,Delivery
Chung Wah,Electronic City,Chinese,2.9,95,500,No,No,Casual Dining,Delivery
Mustard Food Court,Electronic City,"North Indian, Chinese",3.8,57,500,No,No,Quick Bites,Delivery
Rags on Fire,Electronic City,Cafe,3.1,64,600,Yes,No,Cafe,Delivery
